tweet_text,time,wait_time
"kingston terminal status - 1 hour wait, no wsp boarding pass",2018-07-23 19:30 +0000,1.0
"kingston terminal status - 1 hour wait, no wsp boarding pass",2018-07-26 20:20 +0000,1.0
kingston terminal wait time - one hour - no wsp boarding pass,2018-07-27 21:25 +0000,1.0
no extended wait departing kingston,2018-07-28 03:25 +0000,0.0
"kingston terminal status - 1 hour wait, no wsp boarding pass",2018-07-28 18:50 +0000,1.0
"update - kingston terminal status - 2 hour wait, no wsp boarding pass",2018-07-29 00:35 +0000,2.0
"update - kingston terminal status - 1 hour wait, no wsp boarding pass",2018-07-29 02:30 +0000,1.0
kingston terminal wait time - one hour - no wsp boarding pass,2018-07-29 16:35 +0000,1.0
update -kingston terminal wait 2 hours - wsp boarding passes required,2018-07-29 17:50 +0000,2.0
update -kingston terminal wait 1 hour -,2018-07-30 03:00 +0000,1.0
update -kingston terminal wait 3 hour -,2018-07-30 04:25 +0000,3.0
no extended wait departing kingston,2018-07-30 05:30 +0000,0.0
"kingston terminal status - 1 hour wait, no wsp boarding pass",2018-07-30 20:20 +0000,1.0
no extended wait departing kingston,2018-07-31 04:10 +0000,0.0
kingston terminal status - 1 hour wait,2019-07-01 19:20 +0000,1.0
no extended wait departing kingston,2019-07-02 01:45 +0000,0.0
kingston terminal status - 1 hour wait,2019-07-05 19:45 +0000,1.0
kingston terminal status - 2 hour wait,2019-07-05 21:30 +0000,2.0
no extended wait for drivers departing kingston,2019-07-06 02:30 +0000,0.0
kingston terminal status - 1 hour wait,2019-07-06 18:50 +0000,1.0
update - kingston terminal -  2 hour wait. wsp boarding pass required,2019-07-06 23:00 +0000,2.0
update - kingston terminal -  3 hour wait. wsp boarding pass required,2019-07-07 00:50 +0000,3.0
no extended wait departing kingston,2019-07-07 04:20 +0000,0.0
kingston terminal status - 1 hour wait,2019-07-07 18:50 +0000,1.0
update - kingston terminal -  1 hour wait. wsp boarding pass required,2019-07-07 19:25 +0000,1.0
update - kingston terminal -  2 hour wait. wsp boarding pass required,2019-07-07 21:35 +0000,2.0
no extended wait departing kingston,2019-07-08 03:05 +0000,0.0
kingston terminal status - 1 hour wait,2019-07-08 16:35 +0000,1.0
no extended wait departing kingston,2019-07-09 01:20 +0000,0.0
kingston terminal status - 1 hour wait,2019-07-14 00:15 +0000,1.0
no extended wait departing kingston,2019-07-14 03:50 +0000,0.0
kingston terminal -  1 hour wait. wsp boarding pass required,2019-07-14 19:35 +0000,1.0
update: kingston terminal -  2 hour wait. wsp boarding pass required,2019-07-14 20:30 +0000,2.0
no extended wait departing kingston,2019-07-15 04:25 +0000,0.0
kingston terminal status - 1 hour wait,2019-07-15 18:15 +0000,1.0
no extended wait departing kingston,2019-07-16 01:35 +0000,0.0
kingston terminal status - 1 hour wait,2019-07-19 22:00 +0000,1.0
update: kingston terminal -  2 hour wait. wsp boarding pass required,2019-07-19 23:10 +0000,2.0
update: kingston terminal -  1 hour wait. wsp boarding pass required,2019-07-20 01:10 +0000,1.0
no extended wait departing kingston,2019-07-20 03:30 +0000,0.0
no extended wait departing edmonds and kingston,2019-07-20 03:35 +0000,0.0
kingston terminal -  2 hour wait. wsp boarding pass required,2019-07-20 18:05 +0000,2.0
no extended wait departing kingston,2019-07-20 21:30 +0000,0.0
kingston terminal status - 2 hour wait,2019-07-21 03:20 +0000,2.0
kingston terminal status - 1 hour wait,2019-07-21 16:50 +0000,1.0
kingston terminal - one hour wait. wsp boarding pass required,2019-07-21 17:20 +0000,1.0
kingston terminal - two hour wait. wsp boarding pass required,2019-07-21 18:15 +0000,2.0
no extended wait departing kingston,2019-07-22 03:00 +0000,0.0
kingston terminal status - 1 hour wait,2019-07-22 18:20 +0000,1.0
no extended wait departing kingston,2019-07-23 04:05 +0000,0.0
kingston terminal status - 1 hour wait,2019-07-26 19:50 +0000,1.0
kingston terminal status - 1 hour wait,2019-07-27 17:35 +0000,1.0
no extended wait departing kingston,2019-07-28 03:50 +0000,0.0
kingston terminal status - 1 hour wait,2019-07-28 17:05 +0000,1.0
kingston terminal -  1 hour wait. wsp boarding pass required,2019-07-28 18:25 +0000,1.0
kingston terminal -  2 hour wait. wsp boarding pass required,2019-07-28 19:50 +0000,2.0
update - kingston terminal -  1 hour wait. wsp boarding pass required,2019-07-29 00:55 +0000,1.0
update - kingston terminal -  2 hour wait. wsp boarding pass required,2019-07-29 03:20 +0000,2.0
kingston terminal status - 1 hour wait,2019-07-29 19:25 +0000,1.0
no extended wait departing kingston,2019-07-30 02:50 +0000,0.0
