tweet_text,time,wait_time
no extended wait departing edmonds and kingston,2019-07-20 03:35 +0000,0.0
edmonds terminal status - one hour wait,2019-07-20 14:40 +0000,1.0
update: edmonds terminal status - three hour wait,2019-07-20 17:35 +0000,3.0
update - edmonds terminal status - two hour wait,2019-07-20 21:15 +0000,2.0
update - edmonds terminal status - one hour wait,2019-07-20 21:30 +0000,1.0
no extended wait for drivers departing edmonds,2019-07-21 01:30 +0000,0.0
edmonds terminal status - two hour wait,2019-07-21 18:10 +0000,2.0
edmonds terminal status - three hour wait,2019-07-21 19:10 +0000,3.0
update - edmonds terminal status - two hour wait,2019-07-21 21:15 +0000,2.0
no extended wait for drivers departing edmonds,2019-07-21 22:30 +0000,0.0
edmonds terminal status - one hour wait,2019-07-25 19:10 +0000,1.0
no extended wait for drivers departing edmonds,2019-07-26 03:50 +0000,0.0
edmonds terminal status - one hour wait,2019-07-26 16:05 +0000,1.0
edmonds terminal status - three hour wait,2019-07-26 19:30 +0000,3.0
"edmonds terminal status - two hour wait, late vessels",2019-07-27 01:05 +0000,2.0
"edmonds terminal status - 90 minute wait, late vessels",2019-07-27 02:30 +0000,1.5
"edmonds terminal status - one hour wait, late vessels",2019-07-27 03:30 +0000,1.0
"no extended wait for drivers departing edmonds, late vessels",2019-07-27 04:10 +0000,0.0
edmonds terminal status - one hour wait,2019-07-27 16:05 +0000,1.0
no extended wait for drivers departing edmonds,2019-07-28 02:40 +0000,0.0
edmonds terminal status - one hour wait,2019-07-28 18:20 +0000,1.0
update - edmonds terminal status - two hour wait,2019-07-28 23:45 +0000,2.0
update - edmonds terminal status - one hour wait,2019-07-29 00:10 +0000,1.0
no extended wait for drivers departing edmonds,2019-07-29 00:25 +0000,0.0
edmonds terminal status - one hour wait,2019-07-29 19:00 +0000,1.0
no extended wait for drivers departing edmonds,2019-07-30 01:30 +0000,0.0
edmonds terminal status - one hour wait,2019-07-30 22:35 +0000,1.0
no extended wait for drivers departing edmonds,2019-07-31 00:50 +0000,0.0
edmonds terminal status - one hour wait,2019-07-31 23:50 +0000,1.0
edmonds terminal wait time - one hour,2017-11-03 23:00 +0000,1.0
update - no extended wait departing edmonds,2017-11-04 02:50 +0000,0.0
edmonds terminal wait time - one hour,2017-11-10 21:40 +0000,1.0
update - no extended wait departing edmonds,2017-11-11 04:05 +0000,0.0
edmonds terminal wait time - one hour,2017-11-22 21:05 +0000,1.0
edmonds terminal - 90 minute wait,2017-11-22 22:25 +0000,1.5
edmonds terminal wait time - two hours,2017-11-22 23:05 +0000,2.0
update - no extended wait departing edmonds,2017-11-23 03:30 +0000,0.0
ed/ki - edmonds terminal wait time - one hour,2017-11-23 17:50 +0000,1.0
ed/ki - edmonds terminal wait time - 90 minutes,2017-11-23 18:10 +0000,1.5
ed/ki - edmonds terminal update - two hour wait,2017-11-23 20:00 +0000,2.0
update - no extended wait departing edmonds,2017-11-23 22:55 +0000,0.0
ed/ki - edmonds terminal - one hour wait,2017-11-24 20:15 +0000,1.0
edm/king  - edmonds terminal - one hour wait,2017-11-24 20:45 +0000,1.0
update - no extended wait departing edmonds,2017-11-25 02:35 +0000,0.0
edmonds terminal wait time - one hour,2018-06-01 21:50 +0000,1.0
update - edmonds terminal wait time - two hours,2018-06-01 23:20 +0000,2.0
update - edmonds terminal wait time - one hour,2018-06-02 02:45 +0000,1.0
no extended wait departing edmonds,2018-06-02 03:10 +0000,0.0
edmonds terminal wait time - one hour,2018-06-02 16:25 +0000,1.0
update: edmonds terminal wait time - two hours,2018-06-02 19:40 +0000,2.0
update: edmonds terminal wait time - one hour,2018-06-02 21:45 +0000,1.0
no extended wait departing edmonds,2018-06-03 02:35 +0000,0.0
edmonds terminal wait time - one hour,2018-06-08 21:45 +0000,1.0
no extended wait departing edmonds,2018-06-09 04:05 +0000,0.0
edmonds terminal wait time - one hour,2018-06-15 01:40 +0000,1.0
no extended wait departing edmonds,2018-06-15 03:35 +0000,0.0
edmonds terminal wait time - one hour,2018-06-15 18:15 +0000,1.0
edmonds terminal wait time - two hours,2018-06-15 20:50 +0000,2.0
no extended wait departing edmonds,2018-06-16 04:30 +0000,0.0
edmonds terminal wait time - one hour,2018-06-16 16:00 +0000,1.0
edmonds terminal wait time - two hour,2018-06-16 17:45 +0000,2.0
edmonds terminal wait time - two hours,2018-06-16 20:20 +0000,2.0
